HoleId,CompanyHoleId,Dataset,Longitude,Latitude,MaxDepth,Elevation
100289FORRESTANIA PROJECTFSRC044,FSRC044,,119.6338225853127,-32.36375636544106,198.0,379.0
100289FORRESTANIA PROJECTFSRC045,FSRC045,,119.6379703259906,-32.35174699131375,198.0,378.0
100289FORRESTANIA PROJECTFSRC046,FSRC046,,119.62928149504562,-32.35195944735229,250.0,375.0
100289FORRESTANIA PROJECTFSRC047,FSRC047,,119.6237208229163,-32.359435601748906,198.0,374.0
100289FORRESTANIA PROJECTFSRC048,FSRC048,,119.62923136311971,-32.351980294899406,210.0,375.0
100289FORRESTANIA PROJECTFSRC059,FSRC059,,119.64640745772311,-32.34942342281065,250.0,382.0
101441Mt Gibb JV ForrestaniaCCD001,CCD001,,119.6621747637775,-32.62158934630674,330.8500061035156,378.0
101533ForrestaniaBD048,BD048,,119.67859151409799,-32.540132976316265,354.739990234375,406.0
101533ForrestaniaBD049,BD049,,119.67901749657959,-32.53793846967018,283.79998779296875,406.0
101533ForrestaniaBD050,BD050,,119.67837600688524,-32.53462595747382,277.1000061035156,405.0
101533ForrestaniaBD051,BD051,,119.67860133738772,-32.54013111683381,438.6000061035156,406.0
101533ForrestaniaBD052,BD052,,119.6789816627674,-32.54780880517544,236.60000610351562,401.0
101533ForrestaniaBD052W1,BD052W1,,119.6789816627674,-32.54780880517544,330.70001220703125,401.0
101533ForrestaniaBD053,BD053,,119.67743446872517,-32.558180136878164,637.6300048828125,403.0
101533ForrestaniaBD054,BD054,,119.68248802616141,-32.50279718501935,88.0,393.0
101533ForrestaniaBSAC001,BSAC001,,119.66907759851841,-32.3604839852491,27.0,401.0
101533ForrestaniaBSAC002,BSAC002,,119.66920365815899,-32.36036319154481,35.0,400.0
101533ForrestaniaBSAC003,BSAC003,,119.66933215885874,-32.3602531665267,33.0,400.0
101533ForrestaniaBSD023,BSD023,,119.67493967500526,-32.35586288336151,415.0,394.0
101533ForrestaniaBSD024,BSD024,,119.67493317227573,-32.35585851283477,434.6000061035156,394.0
101533ForrestaniaBSD025,BSD025,,119.67531701452496,-32.35554558862174,403.07000732421875,394.0
101533ForrestaniaBSD026,BSD026,,119.67400668006606,-32.35646698814088,345.9700012207031,395.0
101533ForrestaniaFFD166,FFD166,,119.69512636961237,-32.418320241782546,480.70001220703125,425.0
101533ForrestaniaLAD054,LAD054,,119.73133190077756,-32.54602849972183,492.7099914550781,415.0
101533ForrestaniaLAD055,LAD055,,119.73156492387675,-32.54711355127211,500.4800109863281,416.0
101533ForrestaniaLLDKN004,LLDKN004,,119.70006974503636,-32.428704846982825,1282.699951171875,433.0
101533ForrestaniaNID006,NID006,,119.67995478298965,-32.37493814302677,192.8000030517578,419.0
101533ForrestaniaNID007,NID007,,119.68323510236598,-32.38025442229018,256.0,418.0
101533ForrestaniaNMD137W2,NMD137W2,,119.68359562825057,-32.448986755904336,909.4199829101562,414.0
101533ForrestaniaNMD137W2W1,NMD137W2W1,,119.68359562825057,-32.448986755904336,1356.449951171875,414.0
101533ForrestaniaNMD140,NMD140,,119.68127432346944,-32.45778458697017,681.5,400.0
101533ForrestaniaNMD141,NMD141,,119.68126846602156,-32.457784315044464,592.0800170898438,400.0
101533ForrestaniaNMD144,NMD144,,119.68177980261179,-32.45669337740742,700.0599975585938,404.0
101533ForrestaniaNMD145,NMD145,,119.68176699634027,-32.456692965062345,222.42999267578125,404.0
101533ForrestaniaNMD146,NMD146,,119.68182892547199,-32.45561229006099,221.8000030517578,405.0
